DATA,Time,BTTS,IN LIVE?,Odd J,Odd M,Juice,EV,Stake,Lucro Max,Profit,Jogo,Liga,Região,Match ID,%_ProbMod,OBS
24/04/2026,00:00,Sim,S,"2,17","2,25","0,00%","3,69%","R$ 1,00","1,25","R$ 1,25",Montevideo City Torque vs Boston River,,,,"46,08%",
24/04/2026,00:00,Sim,S,"2,36","2,75","0,00%","16,53%","R$ 1,00","1,75","R$ 1,75",Racing Club v Barracas Central,,,,"42,37%",
25/04/2026,00:00,Sim,,"2,12","2,20","0,00%","3,77%","R$ 1,00","1,20","-R$ 1,00",Fagiano Okayama vs Avispa Fukuoka,,,,"47,17%",
25/04/2026,00:00,Sim,,"2,30","2,20","0,00%","-4,35%","R$ 1,00","1,20","-R$ 1,00",HNK Cibalia vs Bijelo Brdo,,,,"43,48%",
25/04/2026,00:00,Sim,,"2,28","2,20","0,00%","-3,51%","R$ 1,00","1,20","R$ 1,20",Amazulu vs Chippa United,,,,"43,86%",
25/04/2026,00:00,Sim,,"2,18","2,10","0,00%","-3,67%","R$ 1,00","1,10","-R$ 1,00",Guangxi Hengchen vs Nanjing City,,,,"45,87%",
25/04/2026,00:00,Sim,,"2,04","2,00","0,00%","-1,96%","R$ 1,00","1,00","-R$ 1,00",Jubilo Iwata vs FC Gifu,,,,"49,02%",
25/04/2026,00:00,Sim,,"2,26","2,10","0,00%","-7,08%","R$ 1,00","1,10","-R$ 1,00",BG Pathum United vs Nakhon Ratchasima,,,,"44,25%",
25/04/2026,00:00,Sim,,"2,24","2,50","0,00%","11,61%","R$ 1,00","1,50","R$ 1,50",Eibar (W) vs Levante UD (W),,,,"44,64%",
25/04/2026,00:00,Sim,,"2,26","2,25","0,00%","-0,44%","R$ 1,00","1,25","R$ 1,25",CSKA Sofia vs Levski Sofia,,,,"44,25%",
25/04/2026,00:00,Sim,,"2,09","2,00","0,00%","-4,31%","R$ 1,00","1,00","R$ 1,00",Omonia Aradippou vs Krasava ENY Ypsonas,,,,"47,85%",
25/04/2026,00:00,Sim,,"1,98","2,20","0,00%","11,11%","R$ 1,00","1,20","R$ 1,20",NK Dubrava Zagreb vs NK Sesvete,,,,"50,51%",
25/04/2026,00:00,Sim,S,"2,15","2,20","0,00%","2,33%","R$ 1,00","1,20","-R$ 1,00",Parma vs Pisa,,,,"46,51%",
25/04/2026,00:00,Sim,S,"2,11","2,20","0,00%","4,27%","R$ 1,00","1,20","-R$ 1,00",Virtus Entella vs Padova,,,,"47,39%",
25/04/2026,00:00,Sim,,"2,14","2,10","0,00%","-1,87%","R$ 1,00","1,10","-R$ 1,00",FC Rukh Lviv vs Karpaty Lviv,,,,"46,73%",
25/04/2026,00:00,Sim,,"2,17","2,25","0,00%","3,69%","R$ 1,00","1,25","R$ 1,25",UTS Rabat vs OC Safi,,,,"46,08%",
25/04/2026,00:00,Sim,S,"2,14","2,20","0,00%","2,80%","R$ 1,00","1,20","R$ 1,20",Burgos v Deportivo La Coruna,,,,"46,73%",
25/04/2026,00:00,Sim,,"2,27","2,37","0,00%","4,41%","R$ 1,00","1,37","-R$ 1,00",CA San Telmo vs All Boys,,,,"44,05%",
25/04/2026,00:00,Sim,,"2,06","2,10","0,00%","1,94%","R$ 1,00","1,10","R$ 1,10",CA Brown de Adrogue vs Villa San Carlos,,,,"48,54%",
25/04/2026,00:00,Sim,,"2,18","2,25","0,00%","3,21%","R$ 1,00","1,25","-R$ 1,00",CSD Flandria vs Sportivo Italiano,,,,"45,87%",
25/04/2026,00:00,Sim,,"2,06","2,25","0,00%","9,22%","R$ 1,00","1,25","R$ 1,25",CA Lugano vs Club Leandro N. Alem,,,,"48,54%",
25/04/2026,00:00,Sim,,"2,07","2,25","0,00%","8,70%","R$ 1,00","1,25","-R$ 1,00",Gotham FC (W) vs Bay FC (W),,,,"48,31%",
25/04/2026,00:00,Sim,,"2,07","2,10","0,00%","1,45%","R$ 1,00","1,10","-R$ 1,00",ABECAT Ouvidorense vs CRAC,,,,"48,31%",
25/04/2026,00:00,Sim,,"2,09","2,10","0,00%","0,48%","R$ 1,00","1,10","-R$ 1,00",Fluminense PI vs CEFAT Tirol,,,,"47,85%",
25/04/2026,00:00,Sim,,"2,30","2,37","0,00%","3,04%","R$ 1,00","1,37","-R$ 1,00",Iguatu vs Maracanã,,,,"43,48%",
25/04/2026,00:00,Sim,,"2,19","2,25","0,00%","2,74%","R$ 1,00","1,25","R$ 1,25",Manauara vs Nacional AM,,,,"45,66%",
25/04/2026,00:00,Sim,,"2,02","2,20","0,00%","8,91%","R$ 1,00","1,20","R$ 1,20",Sergipe vs Lagarto,,,,"49,50%",
25/04/2026,00:00,Sim,,"1,89","2,00","0,00%","5,82%","R$ 1,00","1,00","R$ 1,00",Treze vs Serra Branca,,,,"52,91%",
25/04/2026,00:00,Sim,,"2,29","2,62","0,00%","14,41%","R$ 1,00","1,62","R$ 1,62",Luverdense vs EC Primavera MT,,,,"43,67%",
25/04/2026,00:00,Sim,,"2,17","2,20","0,00%","1,38%","R$ 1,00","1,20","-R$ 1,00",Manaus vs Sao Raimundo RR,,,,"46,08%",
25/04/2026,00:00,Sim,,"2,17","2,20","0,00%","1,38%","R$ 1,00","1,20","-R$ 1,00",Sao Jose RS vs Brasil de Pelotas,,,,"46,08%",
25/04/2026,00:00,Sim,,"2,04","2,20","0,00%","7,84%","R$ 1,00","1,20","R$ 1,20",Itabaiana vs Paysandu,,,,"49,02%",
25/04/2026,00:00,Sim,,"2,26","3,00","0,00%","32,74%","R$ 1,00","2,00","R$ 2,00",Botafogo PB vs Floresta,,,,"44,25%",
25/04/2026,00:00,Sim,,"2,28","2,37","0,00%","3,95%","R$ 1,00","1,37","-R$ 1,00",San Martin SJ vs Quilmes,,,,"43,86%",
25/04/2026,00:00,Sim,,"2,06","2,25","0,00%","9,22%","R$ 1,00","1,25","-R$ 1,00",Atletico Rafaela vs Gimnasia Jujuy,,,,"48,54%",
25/04/2026,00:00,Sim,,"2,02","2,20","0,00%","8,91%","R$ 1,00","1,20","-R$ 1,00",Defensores Puerto Vilelas vs Juventud Antoniana,,,,"49,50%",
25/04/2026,00:00,Sim,,"1,94","2,10","0,00%","8,25%","R$ 1,00","1,10","-R$ 1,00",Comerciantes Unidos vs Sporting Cristal,,,,"51,55%",
26/04/2026,00:00,Sim,,"1,75","1,90","0,00%","8,57%","R$ 1,00","0,90","R$ 0,90",Deportivo La Coruna (W) vs Alhama CF (W),,,,"57,14%",
26/04/2026,00:00,Sim,,"2,17","2,10","0,00%","-3,23%","R$ 1,00","1,10","-R$ 1,00",NK Croatia Zmijavci vs NK Rudes,,,,"46,08%",
26/04/2026,00:00,Sim,,"2,34","2,37","0,00%","1,28%","R$ 1,00","1,37","R$ 1,37",LNZ Cherkasy vs FC Metalist 1925,,,,"42,74%",
26/04/2026,00:00,Sim,,"2,16","2,37","0,00%","9,72%","R$ 1,00","1,37","R$ 1,37",Orlando Pirates vs Kaizer Chiefs,,,,"46,30%",
26/04/2026,00:00,Sim,,"2,46","2,50","0,00%","1,63%","R$ 1,00","1,50","-R$ 1,00",Polokwane City vs Stellenbosch FC,,,,"40,65%",
26/04/2026,00:00,Sim,,"2,20","2,20","0,00%","0,00%","R$ 1,00","1,20","-R$ 1,00",Vanraure Hachinohe vs Blaublitz Akita,,,,"45,45%",
26/04/2026,00:00,Sim,,"1,89","2,00","0,00%","5,82%","R$ 1,00","1,00","R$ 1,00",Kochi United vs Tokushima Vortis,,,,"52,91%",
26/04/2026,00:00,Sim,,"2,07","2,10","0,00%","1,45%","R$ 1,00","1,10","R$ 1,10",Ourense CF vs Zamora CF,,,,"48,31%",
26/04/2026,00:00,Sim,,"2,06","2,20","0,00%","6,80%","R$ 1,00","1,20","-R$ 1,00",SD Tarazona vs Juventud Torremolinos CF,,,,"48,54%",
26/04/2026,00:00,Sim,,"2,33","2,37","0,00%","1,72%","R$ 1,00","1,37","R$ 1,37",Estrela Amadora vs FC Porto,,,,"42,92%",
26/04/2026,00:00,Sim,,"2,13","2,10","0,00%","-1,41%","R$ 1,00","1,10","R$ 1,10",Santa Clara vs Braga,,,,"46,95%",
