League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Europe Friendlies;International (Europe);2608,0;2603,0;3,22;0,61;0,16;0,32;1,27;1,77;1,45;0,55;0,56;0,44;453,0;0,58;217,0;0,56;0,57
Italy Serie D;Italy;1339,0;1336,0;2,38;0,63;0,11;0,25;0,88;1,32;1,06;0,55;0,49;0,51;175,0;0,54;32,0;0,53;0,54
Spain Youth League;Spain;1116,0;1114,0;3,14;0,62;0,15;0,53;1,2;1,84;1,31;0,58;0,54;0,46;250,0;0,5;74,0;0,55;0,53
Mexico Liga TDP;Mexico;876,0;869,0;3,25;0,64;0,15;0,44;1,18;1,84;1,4;0,57;0,5;0,5;203,0;0,51;71,0;0,48;0,49
Poland III Liga;Poland;874,0;874,0;3,22;0,58;0,14;0,34;1,36;1,78;1,44;0,55;0,6;0,4;111,0;0,56;20,0;0,55;0,55
Poland IV Liga;Poland;811,0;811,0;3,72;0,54;0,14;0,41;1,69;2,06;1,65;0,56;0,61;0,39;159,0;0,62;53,0;0,51;0,56
Finland Kolmonen;Finland;755,0;755,0;4,27;0,53;0,17;0,28;2,01;2,28;1,99;0,53;0,66;0,34;163,0;0,63;98,0;0,67;0,65
Brazil Sao Paulo Youth Cup;Brazil;721,0;721,0;2,85;0,63;0,12;0,07;1,06;1,46;1,39;0,51;0,45;0,55;157,0;0,41;120,0;0,48;0,44
Portugal Campeonato Nacional;Portugal;713,0;713,0;2,4;0,68;0,13;0,34;0,77;1,37;1,03;0,57;0,49;0,51;87,0;0,54;18,0;0,56;0,55
Czechia 3. Liga;Czech Republic;679,0;678,0;3,13;0,56;0,15;0,3;1,38;1,71;1,42;0,55;0,57;0,43;95,0;0,51;25,0;0,52;0,51
Austria Landesliga;Austria;673,0;672,0;3,47;0,56;0,16;0,45;1,53;1,96;1,51;0,56;0,6;0,4;78,0;0,58;14,0;0,64;0,61
Argentina Nacional B;Argentina;591,0;587,0;1,81;0,73;0,13;0,42;0,49;1,12;0,7;0,62;0,36;0,64;102,0;0,42;2,0;0,5;0,46
Czechia 4. Liga;Czech Republic;589,0;589,0;3,28;0,59;0,16;0,48;1,35;1,88;1,4;0,57;0,58;0,42;102,0;0,57;12,0;0,67;0,62
Brazil U20 League;Brazil;589,0;588,0;3,08;0,65;0,13;0,38;1,08;1,73;1,35;0,56;0,5;0,5;121,0;0,57;70,0;0,56;0,56
Brazil Serie D;Brazil;589,0;586,0;2,24;0,67;0,1;0,45;0,73;1,34;0,89;0,6;0,43;0,57;101,0;0,4;10,0;0,7;0,55
England National League;England;572,0;571,0;2,9;0,57;0,14;0,26;1,24;1,58;1,32;0,54;0,56;0,44;91,0;0,57;29,0;0,62;0,6
England League 1;England;569,0;569,0;2,64;0,6;0,11;0,3;1,05;1,47;1,17;0,56;0,53;0,47;61,0;0,51;4,0;0,75;0,63
England Championship;England;569,0;569,0;2,61;0,56;0,11;0,19;1,14;1,4;1,21;0,54;0,57;0,43;71,0;0,54;11,0;0,73;0,63
England League 2;England;569,0;569,0;2,56;0,6;0,11;0,16;1,02;1,36;1,2;0,53;0,53;0,47;60,0;0,63;8,0;0,38;0,5
Hungary NB III;Hungary;564,0;564,0;3,22;0,56;0,17;0,49;1,42;1,85;1,37;0,58;0,56;0,44;88,0;0,58;28,0;0,57;0,58
England National League North;England;558,0;558,0;3,06;0,55;0,15;0,25;1,39;1,65;1,4;0,54;0,61;0,39;55,0;0,67;4,0;0,75;0,71
England National League South;England;558,0;557,0;2,86;0,61;0,14;0,36;1,12;1,61;1,25;0,56;0,56;0,44;60,0;0,63;2,0;1,0;0,82
France National 3;France;555,0;555,0;2,73;0,61;0,14;0,3;1,07;1,52;1,21;0,56;0,56;0,44;24,0;0,67;3,0;0,33;0,5
Argentina Liga Profesional Reserves;Argentina;548,0;546,0;2,43;0,64;0,14;0,36;0,87;1,4;1,03;0,58;0,47;0,53;47,0;0,43;6,0;0,33;0,38
Romania Liga III;Romania;537,0;536,0;3,16;0,6;0,15;0,39;1,27;1,78;1,38;0,56;0,56;0,44;99,0;0,62;31,0;0,65;0,63
Guatemala Primera Division;Guatemala;518,0;517,0;2,43;0,63;0,13;0,86;0,9;1,65;0,78;0,68;0,48;0,52;161,0;0,49;1,0;1,0;0,75
