DATA;Time;BTTS;IN LIVE?;Odd J;Odd M;Juice;EV;Stake;Lucro Max;Profit;Jogo;Liga;Região;Match ID;%_ProbMod;OBS;ROI;DATA_DISPLAY;Prob_BTTS;Fair_Odd_BTTS
2026-04-24;19:30;Sim;S;2,17;2,25;0,00%;3,69%;1,0;1,25;1,25;Montevideo City Torque vs Boston River;Uruguay Apertura;Uruguay;193284037,0;46,08%;;125,0;24/04/2026;0,3457528859990453;2,892230689209842
2026-04-24;21:30;Sim;S;2,36;2,75;0,00%;16,53%;1,0;1,75;1,75;Racing Club v Barracas Central;Argentina Liga Profesional;Argentina;192612583,0;42,37%;;175,0;24/04/2026;0,3352967438642746;2,982423885335747
2026-04-25;01:00;Sim;;2,04;2,0;0,00%;-1,96%;1,0;1,00;-1,0;Jubilo Iwata vs FC Gifu;Japan J2/J3 Centennial League;Japan;193116534,0;49,02%;;-100,0;25/04/2026;0,4531419964312292;2,2068089055234115
2026-04-25;02:00;Sim;;2,12;2,2;0,00%;3,77%;1,0;1,20;-1,0;Fagiano Okayama vs Avispa Fukuoka;Japan J-League;Japan;192940712,0;47,17%;;-100,0;25/04/2026;0,4705913610275872;2,1249813698981352
2026-04-25;08:30;Sim;;2,18;2,1;0,00%;-3,67%;1,0;1,10;-1,0;Guangxi Hengchen vs Nanjing City;China Division 1;China;193451533,0;45,87%;;-100,0;25/04/2026;0,3899061557394107;2,564713125368586
2026-04-25;08:30;Sim;;2,26;2,1;0,00%;-7,08%;1,0;1,10;-1,0;BG Pathum United vs Nakhon Ratchasima;Thailand Premier League;Thailand;193377337,0;44,25%;;-100,0;25/04/2026;0,3487728533076291;2,8671874067290526
2026-04-25;08:45;Sim;;2,3;2,2;0,00%;-4,35%;1,0;1,20;-1,0;HNK Cibalia vs Bijelo Brdo;Croatia 1.NL;Croatia;193387188,0;43,48%;;-100,0;25/04/2026;0,3371857073882046;2,9657159611831774
2026-04-25;10:00;Sim;;2,26;2,25;0,00%;-0,44%;1,0;1,25;1,25;CSKA Sofia vs Levski Sofia;Bulgaria First League;Bulgaria;193190489,0;44,25%;;125,0;25/04/2026;0,4096104078365564;2,441338255889155
2026-04-25;10:00;Sim;S;2,15;2,2;0,00%;2,33%;1,0;1,20;-1,0;Parma vs Pisa;Italy Serie A;Italy;192613392,0;46,51%;;-100,0;25/04/2026;0,392821493138404;2,545679072526195
2026-04-25;10:00;Sim;S;2,11;2,2;0,00%;4,27%;1,0;1,20;-1,0;Virtus Entella vs Padova;Italy Serie B;Italy;192940673,0;47,39%;;-100,0;25/04/2026;0,3961438007350717;2,5243294829174507
