League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Italy Serie D;Italy;975,0;972,0;2,39;0,64;0,28;0,85;1,33;1,05;0,56;0,48;0,52;138,0;0,57;28,0;0,54;0,55
Spain Youth League;Spain;841,0;839,0;3,14;0,61;0,54;1,22;1,84;1,3;0,59;0,54;0,46;190,0;0,5;59,0;0,54;0,52
Europe Friendlies;International (Europe);819,0;818,0;3,58;0,59;0,6;1,48;2,09;1,49;0,58;0,64;0,36;138,0;0,62;38,0;0,58;0,6
Brazil Sao Paulo Youth Cup;Brazil;721,0;721,0;2,85;0,63;0,07;1,06;1,46;1,39;0,51;0,45;0,55;157,0;0,41;120,0;0,48;0,44
Mexico Liga TDP;Mexico;603,0;597,0;3,28;0,65;0,38;1,15;1,83;1,45;0,56;0,5;0,5;140,0;0,54;56,0;0,5;0,52
Portugal Campeonato Nacional;Brazil;510,0;510,0;2,39;0,67;0,35;0,79;1,37;1,02;0,57;0,49;0,51;68,0;0,5;17,0;0,59;0,54
UEFA Conference League Qualifying;International (Europe);510,0;510,0;2,75;0,64;0,53;0,99;1,64;1,11;0,6;0,46;0,54;151,0;0,52;42,0;0,43;0,47
France National 3;France;418,0;418,0;2,62;0,64;0,25;0,94;1,44;1,19;0,55;0,55;0,45;17,0;0,53;2,0;0,5;0,51
UEFA Champions League;International (Europe);404,0;404,0;3,31;0,59;0,48;1,37;1,9;1,42;0,57;0,55;0,45;130,0;0,55;43,0;0,58;0,57
England Championship;England;396,0;396,0;2,65;0,56;0,24;1,17;1,44;1,2;0,55;0,57;0,43;54,0;0,5;9,0;0,67;0,58
Spain Regional League;Spain;392,0;390,0;2,59;0,69;0,39;0,81;1,49;1,1;0,57;0,48;0,52;25,0;0,44;15,0;0,4;0,42
England National League South;England;391,0;390,0;2,99;0,58;0,4;1,26;1,7;1,3;0,57;0,57;0,43;43,0;0,63;2,0;1,0;0,81
England National League North;England;391,0;391,0;3,08;0,56;0,29;1,35;1,69;1,4;0,55;0,61;0,39;43,0;0,67;4,0;0,75;0,71
England League 2;England;372,0;372,0;2,56;0,61;0,14;1,0;1,35;1,21;0,53;0,51;0,49;48,0;0,58;5,0;0,4;0,49
Copa Sudamericana;International (South America);367,0;366,0;2,32;0,66;0,38;0,78;1,35;0,97;0,58;0,43;0,57;144,0;0,51;16,0;0,69;0,6
England National League;England;364,0;363,0;2,97;0,57;0,25;1,28;1,61;1,36;0,54;0,57;0,43;67,0;0,63;22,0;0,64;0,63
Bolivia Copa Simon Bolivar;Bolivia;363,0;363,0;3,64;0,61;0,67;1,42;2,16;1,48;0,59;0,58;0,42;93,0;0,66;21,0;0,57;0,61
Brazil U20 Cup;Brazil;359,0;357,0;2,89;0,64;0,61;1,04;1,75;1,14;0,61;0,45;0,55;110,0;0,49;36,0;0,36;0,43
France Cup;France;336,0;336,0;3,12;0,63;0,48;1,15;1,32;1,8;0,42;0,55;0,45;36,0;0,58;126,0;0,49;0,54
Copa do Brasil;Brazil;330,0;329,0;2,24;0,72;0,16;0,63;1,2;1,04;0,54;0,4;0,6;106,0;0,41;62,0;0,42;0,41
Poland III Liga;Poland;326,0;326,0;3,13;0,6;0,41;1,26;1,77;1,36;0,57;0,57;0,43;41,0;0,61;10,0;0,6;0,6
England FA Cup;England;321,0;321,0;3,09;0,62;0,36;1,19;1,72;1,36;0,56;0,56;0,44;86,0;0,64;42,0;0,64;0,64
France National 2;France;313,0;312,0;2,54;0,61;0,32;0,98;1,43;1,11;0,56;0,55;0,45;23,0;0,65;1,0;0,0;0,33
Australia FFA Cup Qualifying;Australia;311,0;306,0;4,12;0,5;0,31;2,05;2,22;1,9;0,54;0,59;0,41;76,0;0,62;58,0;0,5;0,56
Guatemala Liga Nacional;Guatemala;302,0;301,0;2,42;0,66;0,92;0,82;1,67;0,75;0,69;0,47;0,53;99,0;0,51;1,0;1,0;0,75
European U21 Championship Qual;International (Europe);299,0;299,0;3,11;0,65;0,21;1,1;1,66;1,45;0,53;0,4;0,6;111,0;0,4;81,0;0,41;0,4
Thailand Division 3;Thailand;291,0;290,0;2,51;0,66;0,19;0,85;1,35;1,16;0,54;0,49;0,51;42,0;0,5;17,0;0,29;0,4
U19 Euro Championship Qual Women;International (Europe);290,0;289,0;3,47;0,65;0,54;1,22;2,0;1,47;0,58;0,33;0,67;115,0;0,26;68,0;0,31;0,28
Spain Copa del Rey;Spain;288,0;288,0;2,99;0,64;0,78;1,08;1,1;1,89;0,37;0,5;0,5;19,0;0,58;120,0;0,52;0,55
Copa Libertadores;International (South America);288,0;287,0;2,32;0,65;0,5;0,82;1,41;0,91;0,61;0,42;0,58;119,0;0,41;13,0;0,46;0,44
Uruguay Amateur Cup;Uruguay;286,0;286,0;2,78;0,68;0,58;0,9;1,68;1,1;0,6;0,52;0,48;36,0;0,58;6,0;0,5;0,54
France U19 League;France;285,0;285,0;3,26;0,58;0,61;1,38;1,94;1,32;0,59;0,57;0,43;39,0;0,51;7,0;0,43;0,47
Romania Liga III;Romania;285,0;285,0;3,25;0,63;0,38;1,2;1,81;1,44;0,56;0,56;0,44;61,0;0,62;20,0;0,7;0,66
Spain Segunda;Spain;284,0;284,0;2,68;0,62;0,32;1,03;1,5;1,18;0,56;0,56;0,44;31,0;0,55;0,0;0,0;0,27
Italy Campionato Primavera 2;Italy;283,0;282,0;3,11;0,55;0,25;1,39;1,68;1,43;0,54;0,59;0,41;25,0;0,48;6,0;0,67;0,57
Czechia 3. Liga;Czech Republic;280,0;279,0;2,86;0,6;0,35;1,14;1,61;1,26;0,56;0,5;0,5;48,0;0,44;14,0;0,57;0,5
Algeria Division 2;Algeria;278,0;275,0;2,09;0,69;0,47;0,65;1,28;0,81;0,61;0,38;0,62;115,0;0,42;11,0;0,09;0,25
England U21 Premier League Cup;England;274,0;274,0;3,61;0,53;0,43;1,69;2,02;1,59;0,56;0,64;0,36;30,0;0,7;9,0;0,89;0,79
Argentina Liga Profesional;Argentina;271,0;271,0;1,96;0,73;0,25;0,54;1,1;0,85;0,56;0,42;0,58;59,0;0,41;3,0;0,0;0,2
Brazil Paulista Cup;Brazil;271,0;271,0;2,0;0,71;0,27;0,58;1,13;0,86;0,57;0,4;0,6;29,0;0,48;1,0;0,0;0,24
Italy Serie C Group A;Italy;270,0;268,0;2,35;0,65;0,15;0,83;1,25;1,1;0,53;0,49;0,51;29,0;0,59;6,0;0,5;0,54
England EFL Trophy;England;269,0;269,0;3,4;0,54;0,44;1,55;1,92;1,48;0,56;0,62;0,38;57,0;0,75;6,0;0,67;0,71
Mexico Segunda Division;Mexico;266,0;264,0;2,8;0,69;0,48;0,88;1,64;1,16;0,59;0,52;0,48;47,0;0,6;11,0;0,45;0,53
Italy Serie C Group C;Italy;263,0;263,0;2,44;0,58;0,42;1,02;1,43;1,01;0,59;0,53;0,47;45,0;0,53;9,0;0,56;0,54
Greece Gamma Ethniki;Greece;263,0;263,0;2,38;0,74;0,57;0,62;1,48;0,9;0,62;0,43;0,57;96,0;0,48;14,0;0,36;0,42
Belgium First Amateur Division;Belgium;262,0;262,0;3,35;0,58;0,24;1,41;1,79;1,55;0,54;0,58;0,42;23,0;0,43;10,0;0,8;0,62
Portugal Cup;Portugal;260,0;259,0;2,83;0,62;0,34;1,09;1,59;1,25;0,56;0,47;0,53;61,0;0,41;71,0;0,55;0,48
Italy Serie B;Italy;260,0;259,0;2,52;0,59;0,42;1,05;1,47;1,05;0,58;0,51;0,49;43,0;0,53;8,0;0,38;0,45
European U19 Championship Qual;International (Europe);260,0;259,0;2,88;0,58;0,39;1,2;1,63;1,25;0,57;0,4;0,6;100,0;0,37;42,0;0,45;0,41
