Categoria,Subcategoria,Coluna,Descrição
Informações da Partida,Identificação,Match_ID,ID da partida
Informações da Partida,Localização e Data,Country,País
Informações da Partida,Localização e Data,Season,Temporada
Informações da Partida,Localização e Data,Div,Nome do Torneio
Informações da Partida,Localização e Data,League,Liga
Informações da Partida,Localização e Data,Date,Data da partida
Informações da Partida,Localização e Data,Time,Horário da partida
Informações da Partida,Localização e Data,Round,Rodada
Informações da Partida,Equipes,Home,Time Mandante
Informações da Partida,Equipes,Away,Time Visitante
Informações da Partida,Placar,Home_Score,Gols Mandante
Informações da Partida,Placar,Away_Score,Gols Visitante
Informações da Partida,Placar,Min_Goals_Home,Minutos dos Goals do Mandante
Informações da Partida,Placar,Min_Goals_Away,Minutos dos Goals do Visitante
Odds e Mercados,Mercado - 1X2,Bookie_1X2_HT,Bookie
Odds e Mercados,Mercado - 1X2,Odd_1_HT,Odd Mandante vencer no Intervalo
Odds e Mercados,Mercado - 1X2,Odd_X_HT,Odd Empate no Intervalo
Odds e Mercados,Mercado - 1X2,Odd_2_HT,Odd Visitante vencer no Intervalo
Odds e Mercados,Mercado - 1X2,Bookie_1X2_FT,Bookies
Odds e Mercados,Mercado - 1X2,Odd_1_FT,Odd Mandante vencer
Odds e Mercados,Mercado - 1X2,Odd_X_FT,Odd Empate
Odds e Mercados,Mercado - 1X2,Odd_2_FT,Odd Visitante vencer
Odds e Mercados,Mercado - Gols,Bookie_OU_HT_0_5,Bookie
Odds e Mercados,Mercado - Gols,Over_HT_0_5,Odd Over 0.5 HT
Odds e Mercados,Mercado - Gols,Under_HT_0_5,Odd Under 0.5 HT
Odds e Mercados,Mercado - Gols,Bookie_OU_HT_1_5,Bookie
Odds e Mercados,Mercado - Gols,Over_HT_1_5,Odd Over 1.5 HT
Odds e Mercados,Mercado - Gols,Under_HT_1_5,Odd Under 1.5 HT
Odds e Mercados,Mercado - Gols,Bookie_OU_HT_2_5,Bookie
Odds e Mercados,Mercado - Gols,Over_HT_2_5,Odd Over HT_2_5
Odds e Mercados,Mercado - Gols,Under_HT_2_5,Odd Under HT_2_5
Odds e Mercados,Mercado - Gols,Bookie_OU_FT_0_5,Bookie
Odds e Mercados,Mercado - Gols,Over_FT_0_5,Odd Over 0.5 FT
Odds e Mercados,Mercado - Gols,Under_FT_0_5,Odd Under 0.5 FT
Odds e Mercados,Mercado - Gols,Bookie_OU_FT_1_5,Bookie
Odds e Mercados,Mercado - Gols,Over_FT_1_5,Odd Over 1.5 FT
Odds e Mercados,Mercado - Gols,Under_FT_1_5,Odd Under 1.5 FT
Odds e Mercados,Mercado - Gols,Bookie_OU_FT_2_5,Bookie
Odds e Mercados,Mercado - Gols,Over_FT_2_5,Odd Over 2.5 FT
Odds e Mercados,Mercado - Gols,Under_FT_2_5,Odd Under 2.5 FT
Odds e Mercados,Mercado - Gols,Bookie_OU_FT_3_5,Bookie
Odds e Mercados,Mercado - Gols,Over_FT_3_5,Odd Over 3.5 FT
Odds e Mercados,Mercado - Gols,Under_FT_3_5,Odd Under 3.5 FT
Odds e Mercados,Mercado - Gols,Bookie_OU_FT_4_5,Bookie
Odds e Mercados,Mercado - Gols,Over_FT_4_5,Odd Over 4.5 FT
Odds e Mercados,Mercado - Gols,Under_FT_4_5,Odd Under 4.5 FT
Odds e Mercados,Mercado - Ambas Marcam,Bookie_BTTS,Bookie
Odds e Mercados,Mercado - Ambas Marcam,BTTS_Yes,Odd Ambas Marcam Sim
Odds e Mercados,Mercado - Ambas Marcam,BTTS_No,Odd Ambas Marcam Não
Odds e Mercados,Mercado - Dupla Chance,Bookie_DC,Bookie
Odds e Mercados,Mercado - Dupla Chance,DC_1X,Odd Dupla Chance Mandante e Empate
Odds e Mercados,Mercado - Dupla Chance,DC_12,Odd Dupla Chance Mandante e Visitante
Odds e Mercados,Mercado - Dupla Chance,DC_X2,Odd Dupla Chance Visitante e Empate
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_0_0,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_0_0,Odd Placar Exato 0x0
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_0_1,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_0_1,Odd Placar Exato 0x1
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_0_2,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_0_2,Odd Placar Exato 0x2
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_0_3,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_0_3,Odd Placar Exato 0x3
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_1_0,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_1_0,Odd Placar Exato 1x0
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_1_1,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_1_1,Odd Placar Exato 1x1
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_1_2,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_1_2,Odd Placar Exato 1x2
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_1_3,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_1_3,Odd Placar Exato 1x3
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_2_0,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_2_0,Odd Placar Exato 2x0
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_2_1,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_2_1,Odd Placar Exato 2x1
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_2_2,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_2_2,Odd Placar Exato 2x2
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_2_3,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_2_3,Odd Placar Exato 2x3
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_3_0,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_3_0,Odd Placar Exato 3x0
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_3_1,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_3_1,Odd Placar Exato 3x1
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_3_2,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_3_2,Odd Placar Exato 3x2
Odds e Mercados,Mercado - Placar Exato,Bookie_CS_3_3,Bookie
Odds e Mercados,Mercado - Placar Exato,CS_3_3,Odd Placar Exato 3x3
Odds e Mercados,Mercado - Handicap Asiático,Bookie_AH_neg_2_5,Bookie
Odds e Mercados,Mercado - Handicap Asiático,AH_Home_neg_2_5,Odd Handicap Asiático Home -2.5
Odds e Mercados,Mercado - Handicap Asiático,AH_Away_neg_2_5,Odd Handicap Asiático Away -2.5
Odds e Mercados,Mercado - Handicap Asiático,Bookie_AH_neg_2,Bookie
Odds e Mercados,Mercado - Handicap Asiático,AH_Home_neg_2,Odd Handicap Asiático Home -2
Odds e Mercados,Mercado - Handicap Asiático,AH_Away_neg_2,Odd Handicap Asiático Away -2
Odds e Mercados,Mercado - Handicap Asiático,Bookie_AH_neg_1_5,Bookie
Odds e Mercados,Mercado - Handicap Asiático,AH_Home_neg_1_5,Odd Handicap Asiático Home -1.5
Odds e Mercados,Mercado - Handicap Asiático,AH_Away_neg_1_5,Odd Handicap Asiático Away -1.5
Odds e Mercados,Mercado - Handicap Asiático,Bookie_AH_neg_1,Bookie
Odds e Mercados,Mercado - Handicap Asiático,AH_Home_neg_1,Odd Handicap Asiático Home -1
Odds e Mercados,Mercado - Handicap Asiático,AH_Away_neg_1,Odd Handicap Asiático Away -1
Odds e Mercados,Mercado - Handicap Asiático,Bookie_AH_neg_0_5,Bookie
Odds e Mercados,Mercado - Handicap Asiático,AH_Home_neg_0_5,Odd Handicap Asiático Home -0.5
Odds e Mercados,Mercado - Handicap Asiático,AH_Away_neg_0_5,Odd Handicap Asiático Away -0.5
Odds e Mercados,Mercado - Handicap Asiático,Bookie_AH_pos_0_5,Bookie
Odds e Mercados,Mercado - Handicap Asiático,AH_Home_pos_0_5,Odd Handicap Asiático Home 0.5
Odds e Mercados,Mercado - Handicap Asiático,AH_Away_pos_0_5,Odd Handicap Asiático Away 0.5
Odds e Mercados,Mercado - Handicap Asiático,Bookie_AH_pos_1,Bookie
Odds e Mercados,Mercado - Handicap Asiático,AH_Home_pos_1,Odd Handicap Asiático Home 1
Odds e Mercados,Mercado - Handicap Asiático,AH_Away_pos_1,Odd Handicap Asiático Away 1
Odds e Mercados,Mercado - Handicap Asiático,Bookie_AH_pos_1_5,Bookie
Odds e Mercados,Mercado - Handicap Asiático,AH_Home_pos_1_5,Odd Handicap Asiático Home 1.5
Odds e Mercados,Mercado - Handicap Asiático,AH_Away_pos_1_5,Odd Handicap Asiático Away 1.5
Odds e Mercados,Mercado - Handicap Asiático,Bookie_AH_pos_2,Bookie
Odds e Mercados,Mercado - Handicap Asiático,AH_Home_pos_2,Odd Handicap Asiático Home 2
Odds e Mercados,Mercado - Handicap Asiático,AH_Away_pos_2,Odd Handicap Asiático Away 2
Odds e Mercados,Mercado - Handicap Asiático,Bookie_AH_pos_2_5,Bookie
Odds e Mercados,Mercado - Handicap Asiático,AH_Home_pos_2_5,Odd Handicap Asiático Home 2.5
Odds e Mercados,Mercado - Handicap Asiático,AH_Away_pos_2_5,Odd Handicap Asiático Away 2.5
Odds e Mercados,Mercado - Handicap Europeu,Bookie_EH_neg_3,Bookie
Odds e Mercados,Mercado - Handicap Europeu,EH_Home_neg_3,Handicap Europeu Mandante -3
Odds e Mercados,Mercado - Handicap Europeu,EH_Draw_neg_3,Handicap Europeu Empate -3
Odds e Mercados,Mercado - Handicap Europeu,EH_Away_neg_3,Handicap Europeu Visitante -3
Odds e Mercados,Mercado - Handicap Europeu,Bookie_EH_neg_2,Bookie
Odds e Mercados,Mercado - Handicap Europeu,EH_Home_neg_2,Handicap Europeu Mandante -2
Odds e Mercados,Mercado - Handicap Europeu,EH_Draw_neg_2,Handicap Europeu Empate -2
Odds e Mercados,Mercado - Handicap Europeu,EH_Away_neg_2,Handicap Europeu Visitante -2
Odds e Mercados,Mercado - Handicap Europeu,Bookie_EH_neg_1,Bookie
Odds e Mercados,Mercado - Handicap Europeu,EH_Home_neg_1,Handicap Europeu Mandante -1
Odds e Mercados,Mercado - Handicap Europeu,EH_Draw_neg_1,Handicap Europeu Empate -1
Odds e Mercados,Mercado - Handicap Europeu,EH_Away_neg_1,Handicap Europeu Visitante -1
Odds e Mercados,Mercado - Handicap Europeu,Bookie_EH_1,Bookie
Odds e Mercados,Mercado - Handicap Europeu,EH_Home_1,Handicap Europeu Mandante 1
Odds e Mercados,Mercado - Handicap Europeu,EH_Draw_1,Handicap Europeu Empate 1
Odds e Mercados,Mercado - Handicap Europeu,EH_Away_1,Handicap Europeu Visitante 1
Odds e Mercados,Mercado - Handicap Europeu,Bookie_EH_2,Bookie
Odds e Mercados,Mercado - Handicap Europeu,EH_Home_2,Handicap Europeu Mandante 2
Odds e Mercados,Mercado - Handicap Europeu,EH_Draw_2,Handicap Europeu Empate 2
Odds e Mercados,Mercado - Handicap Europeu,EH_Away_2,Handicap Europeu Visitante 2
Odds e Mercados,Mercado - Handicap Europeu,Bookie_EH_3,Bookie
Odds e Mercados,Mercado - Handicap Europeu,EH_Home_3,Handicap Europeu Mandante 3
Odds e Mercados,Mercado - Handicap Europeu,EH_Draw_3,Handicap Europeu Empate 3
Odds e Mercados,Mercado - Handicap Europeu,EH_Away_3,Handicap Europeu Visitante 3
Estatísticas - Jogo Completo (FT),Ataque / Gols,xG_Home_FT,Gols Esperados (xG) - Mandante (Jogo Completo)
Estatísticas - Jogo Completo (FT),Ataque / Gols,xG_Away_FT,Gols Esperados (xG) - Visitante (Jogo Completo)
Estatísticas - Jogo Completo (FT),Ataque / Gols,xGOT_Home_FT,xG no Alvo - Mandante (Jogo Completo)
