=== RELATÓRIO DE LIGAS NA BASE PRINCIPAL (154 LIGAS ENCONTRADAS) ===
Total de Partidas na Base: 238,795
-----------------------------------------------------------------------------------------------
NOME DA LIGA (LIGA_ALVO)            |   JOGOS | TIMES |   TEMPORADAS | PERÍODO (INÍCIO - FIM)
-----------------------------------------------------------------------------------------------
ITALY 4                             |  14,830 |   324 |    2021-2026 | 18/09/2021 a 25/05/2026
SPAIN 4                             |   7,650 |   198 |    2021-2026 | 04/09/2021 a 03/05/2026
WORLD WORLD CUP                     |   6,283 |   214 |    2000-2026 | 03/03/2000 a 11/07/2026
ITALY 3                             |   5,655 |   111 |    2021-2026 | 28/08/2021 a 26/04/2026
SPAIN 3                             |   3,800 |    81 |    2021-2026 | 27/08/2021 a 24/05/2026
ARGENTINA 2                         |   3,676 |    55 |    2021-2026 | 12/03/2021 a 12/07/2026
FRANCE 4                            |   3,426 |   103 |    2021-2026 | 07/08/2021 a 16/05/2026
BRAZIL 4                            |   3,132 |   196 |    2021-2026 | 26/05/2021 a 12/07/2026
ARGENTINA 3                         |   2,995 |    58 |    2021-2026 | 10/04/2021 a 12/07/2026
ENGLAND 2                           |   2,785 |    40 |    2021-2026 | 06/08/2021 a 23/05/2026
ENGLAND 3                           |   2,785 |    46 |    2021-2026 | 07/08/2021 a 24/05/2026
ENGLAND 4                           |   2,785 |    42 |    2021-2026 | 07/08/2021 a 25/05/2026
USA 1                               |   2,766 |    32 |    2021-2026 | 16/04/2021 a 24/05/2026
ENGLAND CUP                         |   2,762 |   616 |    2021-2026 | 31/07/2021 a 16/05/2026
ENGLAND 5                           |   2,739 |    44 |    2021-2026 | 21/08/2021 a 10/05/2026
JAPAN 2                             |   2,555 |    49 |    2021-2026 | 27/02/2021 a 07/06/2026
COLOMBIA 1                          |   2,403 |    26 |    2021-2026 | 16/01/2021 a 08/06/2026
USA 2                               |   2,381 |    38 |    2021-2026 | 24/04/2021 a 08/07/2026
SPAIN 2                             |   2,340 |    39 |    2021-2026 | 13/08/2021 a 20/06/2026
BRAZIL 2                            |   2,078 |    45 |    2021-2026 | 28/05/2021 a 12/07/2026
BRAZIL 1                            |   2,077 |    30 |    2021-2026 | 29/05/2021 a 31/05/2026
JAPAN 3                             |   2,051 |    30 |    2021-2025 | 14/03/2021 a 14/12/2025
JAPAN 1                             |   1,956 |    31 |    2021-2026 | 26/02/2021 a 06/06/2026
ITALY 2                             |   1,950 |    44 |    2021-2026 | 20/08/2021 a 29/05/2026
NETHERLANDS 2                       |   1,948 |    27 |    2021-2026 | 06/08/2021 a 23/05/2026
ITALY 1                             |   1,901 |    27 |    2021-2026 | 21/08/2021 a 24/05/2026
ENGLAND 1                           |   1,900 |    27 |    2021-2026 | 13/08/2021 a 24/05/2026
SPAIN 1                             |   1,900 |    26 |    2021-2026 | 13/08/2021 a 24/05/2026
ARGENTINA 1                         |   1,899 |    35 |    2022-2026 | 03/06/2022 a 24/05/2026
GERMANY 3                           |   1,893 |    41 |    2021-2026 | 24/07/2021 a 16/05/2026
GREECE 2                            |   1,856 |    55 |    2021-2026 | 06/11/2021 a 26/04/2026
BELGIUM 1                           |   1,842 |    29 |    2020-2026 | 28/11/2020 a 31/05/2026
TURKEY 2                            |   1,775 |    39 |    2021-2026 | 13/08/2021 a 24/05/2026
FRANCE 2                            |   1,758 |    38 |    2021-2026 | 24/07/2021 a 24/05/2026
TURKEY 1                            |   1,750 |    29 |    2021-2026 | 13/08/2021 a 17/05/2026
WORLD EUROCUP                       |   1,732 |    57 |    1998-2021 | 03/06/1998 a 07/07/2021
PERU 1                              |   1,724 |    28 |    2021-2026 | 12/03/2021 a 31/05/2026
MEXICO 1                            |   1,701 |    18 |    2021-2026 | 22/07/2021 a 24/05/2026
FRANCE 1                            |   1,694 |    30 |    2021-2026 | 06/08/2021 a 29/05/2026
EUROPA CONFERENCE LEAGUE            |   1,650 |   554 |    2022-2026 | 05/07/2022 a 27/05/2026
COLOMBIA 2                          |   1,641 |    22 |    2021-2026 | 15/01/2021 a 29/05/2026
BULGARIA 2                          |   1,622 |    35 |    2021-2026 | 24/07/2021 a 23/05/2026
SAUDI ARABIA 2                      |   1,610 |    40 |    2021-2026 | 06/09/2021 a 23/05/2026
NETHERLANDS 1                       |   1,603 |    32 |    2021-2026 | 13/08/2021 a 24/05/2026
ROMANIA 1                           |   1,602 |    26 |    2021-2026 | 15/07/2021 a 01/06/2026
URUGUAY 1                           |   1,595 |    26 |    2021-2026 | 15/05/2021 a 12/07/2026
PORTUGAL 3                          |   1,562 |    42 |    2021-2026 | 13/08/2021 a 16/05/2026
POLAND 2                            |   1,545 |    38 |    2021-2026 | 30/07/2021 a 31/05/2026
PORTUGAL 2                          |   1,544 |    37 |    2021-2026 | 07/08/2021 a 30/05/2026
GERMANY 1                           |   1,540 |    28 |    2021-2026 | 13/08/2021 a 25/05/2026
PORTUGAL 1                          |   1,540 |    27 |    2021-2026 | 06/08/2021 a 28/05/2026
GERMANY 2                           |   1,540 |    33 |    2021-2026 | 23/07/2021 a 26/05/2026
POLAND 1                            |   1,530 |    27 |    2021-2026 | 23/07/2021 a 23/05/2026
SERBIA 1                            |   1,496 |    26 |    2021-2026 | 16/07/2021 a 24/05/2026
ISRAEL 2                            |   1,484 |    30 |    2021-2026 | 26/08/2021 a 25/05/2026
SERBIA 2                            |   1,484 |    36 |    2021-2026 | 06/08/2021 a 29/05/2026
BOLIVIA 1                           |   1,481 |    25 |    2021-2026 | 09/03/2021 a 12/07/2026
EGYPT 1                             |   1,465 |    26 |    2021-2026 | 25/10/2021 a 29/05/2026
FRANCE 3                            |   1,462 |    37 |    2021-2026 | 06/08/2021 a 15/05/2026
CHINA 2                             |   1,444 |    40 |    2021-2026 | 24/04/2021 a 12/07/2026
ECUADOR 1                           |   1,422 |    23 |    2021-2026 | 19/02/2021 a 12/07/2026
CZECH 1                             |   1,401 |    25 |    2021-2026 | 24/07/2021 a 31/05/2026
SAUDI ARABIA 1                      |   1,398 |    26 |    2021-2026 | 11/08/2021 a 21/05/2026
ROMANIA 2                           |   1,398 |    48 |    2021-2026 | 31/07/2021 a 23/05/2026
CHILE 2                             |   1,390 |    25 |    2021-2026 | 03/04/2021 a 08/06/2026
VENEZUELA 1                         |   1,386 |    24 |    2021-2026 | 11/04/2021 a 07/06/2026
BULGARIA 1                          |   1,380 |    24 |    2021-2026 | 23/07/2021 a 29/05/2026
MEXICO 2                            |   1,380 |    20 |    2021-2026 | 27/07/2021 a 30/05/2026
PARAGUAY 2                          |   1,376 |    36 |    2021-2026 | 09/04/2021 a 12/07/2026
PARAGUAY 1                          |   1,370 |    20 |    2021-2026 | 05/02/2021 a 24/05/2026
CHILE 1                             |   1,366 |    27 |    2021-2026 | 27/03/2021 a 18/06/2026
NORWAY 2                            |   1,347 |    35 |    2021-2026 | 15/05/2021 a 05/07/2026
CHINA 1                             |   1,345 |    28 |    2021-2026 | 20/04/2021 a 11/07/2026
SWEDEN 2                            |   1,332 |    36 |    2021-2026 | 10/04/2021 a 28/06/2026
NORWAY 1                            |   1,306 |    25 |    2021-2026 | 09/05/2021 a 12/07/2026
SWEDEN 1                            |   1,306 |    26 |    2021-2026 | 10/04/2021 a 12/07/2026
SOUTH KOREA 2                       |   1,284 |    23 |    2021-2026 | 27/02/2021 a 12/07/2026
SOUTH KOREA 1                       |   1,262 |    21 |    2021-2026 | 27/02/2021 a 12/07/2026
VENEZUELA 2                         |   1,229 |    32 |    2021-2026 | 11/07/2021 a 07/06/2026
CYPRUS 1                            |   1,208 |    21 |    2021-2026 | 20/08/2021 a 22/05/2026
BRAZIL 3                            |   1,208 |    50 |    2021-2026 | 29/05/2021 a 12/07/2026
SOUTH AFRICA 2                      |   1,206 |    34 |    2021-2026 | 21/08/2021 a 17/05/2026
EUROPA CHAMPIONS LEAGUE             |   1,206 |   252 |    2021-2026 | 22/06/2021 a 30/05/2026
SOUTH AFRICA 1                      |   1,205 |    26 |    2021-2026 | 20/08/2021 a 13/06/2026
WOM SPAIN 1                         |   1,200 |    22 |    2021-2026 | 04/09/2021 a 31/05/2026
CZECH 2                             |   1,200 |    23 |    2021-2026 | 23/07/2021 a 23/05/2026
ISRAEL 1                            |   1,200 |    18 |    2021-2026 | 28/08/2021 a 23/05/2026
SLOVENIA 2                          |   1,200 |    24 |    2021-2026 | 30/07/2021 a 23/05/2026
GREECE 1                            |   1,194 |    20 |    2021-2026 | 11/09/2021 a 21/05/2026
AUSTRIA 2                           |   1,183 |    27 |    2021-2026 | 23/07/2021 a 14/05/2026
AUSTRIA 1                           |   1,172 |    16 |    2020-2026 | 11/09/2020 a 25/05/2026
SCOTLAND 1                          |   1,170 |    22 |    2021-2026 | 31/07/2021 a 25/05/2026
NORTHERN IRELAND 1                  |   1,165 |    17 |    2021-2026 | 27/08/2021 a 12/05/2026
CYPRUS 2                            |   1,156 |    32 |    2021-2026 | 10/09/2021 a 25/04/2026
NORTHERN IRELAND 2                  |   1,148 |    19 |    2021-2026 | 07/08/2021 a 25/04/2026
SLOVAKIA 2                          |   1,144 |    31 |    2021-2026 | 24/07/2021 a 23/05/2026
UKRAINE 1                           |   1,122 |    28 |    2021-2026 | 23/07/2021 a 09/06/2026
URUGUAY 2                           |   1,118 |    33 |    2021-2026 | 01/06/2021 a 12/07/2026
BOSNIA 2                            |   1,112 |    23 |    2021-2026 | 14/08/2021 a 07/06/2026
EUROPA LEAGUE                       |   1,067 |   237 |    2021-2026 | 03/08/2021 a 20/05/2026
UKRAINE 2                           |   1,065 |    40 |    2021-2026 | 24/07/2021 a 02/06/2026
SWITZERLAND 1                       |   1,054 |    16 |    2021-2026 | 24/07/2021 a 21/05/2026
BELGIUM 2                           |   1,040 |    26 |    2021-2026 | 13/08/2021 a 17/04/2026
CROATIA 2                           |   1,036 |    22 |    2021-2026 | 13/08/2021 a 30/05/2026
IRELAND 1                           |   1,031 |    16 |    2021-2026 | 19/03/2021 a 11/07/2026
ECUADOR 2                           |   1,008 |    26 |    2021-2026 | 16/03/2021 a 11/07/2026
AUSTRALIA 1                         |     995 |    13 |    2020-2026 | 28/12/2020 a 23/05/2026
SCOTLAND CUP                        |     993 |   132 |    2021-2026 | 09/07/2021 a 23/05/2026
FRANCE CUP                          |     989 |   525 |    2021-2026 | 11/11/2021 a 22/05/2026
ESTONIA 1                           |     980 |    15 |    2021-2026 | 13/03/2021 a 11/07/2026
EGYPT 2                             |     979 |    32 |    2023-2026 | 24/09/2023 a 14/05/2026
WALES 1                             |     976 |    17 |    2021-2026 | 13/08/2021 a 02/05/2026
SLOVAKIA 1                          |     975 |    19 |    2021-2026 | 23/07/2021 a 16/05/2026
BOSNIA 1                            |     972 |    16 |    2021-2026 | 16/07/2021 a 26/05/2026
ESTONIA 2                           |     969 |    22 |    2021-2026 | 04/03/2021 a 12/07/2026
DENMARK 1                           |     965 |    16 |    2021-2026 | 16/07/2021 a 21/05/2026
DENMARK 2                           |     960 |    23 |    2021-2026 | 23/07/2021 a 31/05/2026
IRELAND 2                           |     953 |    15 |    2021-2026 | 26/03/2021 a 10/07/2026
FINLAND 1                           |     944 |    20 |    2021-2026 | 24/04/2021 a 11/07/2026
PERU 2                              |     943 |    33 |    2021-2026 | 19/05/2021 a 01/06/2026
SCOTLAND 2                          |     930 |    22 |    2021-2026 | 31/07/2021 a 16/05/2026
SCOTLAND 3                          |     930 |    23 |    2021-2026 | 31/07/2021 a 15/05/2026
SCOTLAND 4                          |     920 |    22 |    2021-2026 | 31/07/2021 a 16/05/2026
PORTUGAL CUP                        |     904 |   276 |    2021-2026 | 23/07/2021 a 24/05/2026
SWITZERLAND 2                       |     902 |    17 |    2021-2026 | 23/07/2021 a 15/05/2026
COPA LIBERTADORES                   |     901 |   115 |    2021-2026 | 23/02/2021 a 28/05/2026
CROATIA 1                           |     900 |    13 |    2021-2026 | 16/07/2021 a 23/05/2026
