Team,Group,Treinador,Data_Inicio
Mexico,Group A,Javier Aguirre,2024-07-22
South Africa,Group A,Hugo Broos,2021-05-05
South Korea,Group A,Hong Myung-bo,2024-07-08
Czechia,Group A,Ivan Hašek,2024-01-04
Canada,Group B,Jesse Marsch,2024-05-13
Bosnia-Herzegovina,Group B,Sergej Barbarez,2024-04-19
Qatar,Group B,Julen Lopetegui,2025-05-01
Switzerland,Group B,Murat Yakin,2021-08-09
Brazil,Group C,Carlo Ancelotti,2025-05-12
Morocco,Group C,Walid Regragui,2022-08-31
Haiti,Group C,Sébastien Migné,2024-03-08
Scotland,Group C,Steve Clarke,2019-05-20
USA,Group D,Mauricio Pochettino,2024-09-10
Paraguay,Group D,Gustavo Alfaro,2024-08-16
Australia,Group D,Tony Popovic,2024-09-26
Türkiye,Group D,Vincenzo Montella,2023-09-27
Germany,Group E,Julian Nagelsmann,2023-09-22
Curacao,Group E,Dick Advocaat,2024-01-15
Ivory Coast,Group E,Emerse Faé,2024-01-24
Ecuador,Group E,Sebastián Beccacece,2024-08-01
Holland,Group F,Ronald Koeman,2023-01-23
Japan,Group F,Hajime Moriyasu,2018-07-26
Sweden,Group F,Jon Dahl Tomasson,2024-02-26
Tunisia,Group F,Kais Yaâkoubi,2024-10-20
Belgium,Group G,Rudi Garcia,2025-01-24
Egypt,Group G,Hossam Hassan,2024-02-06
Iran,Group G,Amir Ghalenoei,2023-03-13
New Zealand,Group G,Darren Bazeley,2023-07-04
Spain,Group H,Luis de la Fuente,2022-12-08
Cape Verde,Group H,Bubista,2020-01-28
Saudi Arabia,Group H,Georgios Donis,2026-04-23
Uruguay,Group H,Marcelo Bielsa,2023-05-15
France,Group I,Didier Deschamps,2012-07-08
Senegal,Group I,Pape Thiaw,2024-12-13
Iraq,Group I,Graham Arnold,2025-05-09
Norway,Group I,Ståle Solbakken,2020-12-03
Argentina,Group J,Lionel Scaloni,2018-08-03
Algeria,Group J,Vladimir Petković,2024-02-29
Austria,Group J,Ralf Rangnick,2022-04-29
Jordan,Group J,Jamal Sellami,2024-06-22
Portugal,Group K,Roberto Martínez,2023-01-09
DR Congo,Group K,Sébastien Desabre,2022-08-08
Uzbekistan,Group K,Timur Kapadze,2025-01-22
Colombia,Group K,Néstor Lorenzo,2022-06-02
England,Group L,Thomas Tuchel,2024-10-16
Croatia,Group L,Zlatko Dalić,2017-10-07
Ghana,Group L,Otto Addo,2024-03-15
Panama,Group L,Thomas Christiansen,2020-07-23
