Team,period,Rating
Athletico PR,2023-07-23,1919.4
Athletico PR,2023-07-29,1928.97
Athletico PR,2023-08-02,1881.55
Athletico PR,2023-08-05,1874.55
Athletico PR,2023-08-09,1871.34
Athletico PR,2023-08-16,1854.87
Athletico PR,2023-08-22,1900.26
Athletico PR,2023-08-27,1922.6
Athletico PR,2023-09-02,1896.55
Athletico PR,2023-09-14,1909.64
Athletico PR,2023-09-22,1911.62
Athletico PR,2023-10-01,1932.75
Athletico PR,2023-10-08,1913.74
Athletico PR,2023-10-19,1909.72
Athletico PR,2023-10-22,1902.03
Athletico PR,2023-10-26,1901.68
Athletico PR,2023-10-29,1927.82
Athletico PR,2023-11-01,1919.48
Athletico PR,2023-11-05,1928.88
Athletico PR,2023-11-09,1920.01
Athletico PR,2023-11-12,1935.38
Athletico PR,2023-11-25,1924.61
Athletico PR,2023-12-01,1902.22
Athletico PR,2023-12-03,1882.16
Athletico PR,2023-12-07,1869.65
Athletico PR,2024-01-18,1912.74
Athletico PR,2024-01-21,1876.82
Athletico PR,2024-01-24,1857.07
Athletico PR,2024-01-27,1891.21
Athletico PR,2024-02-01,1875.93
Athletico PR,2024-02-03,1862.85
Athletico PR,2024-02-08,1848.07
Athletico PR,2024-02-10,1810.97
Athletico PR,2024-02-15,1826.86
Athletico PR,2024-02-18,1844.49
Athletico PR,2024-02-25,1834.12
Athletico PR,2024-03-02,1841.17
Athletico PR,2024-03-10,1837.38
Athletico PR,2024-03-16,1871.7
Athletico PR,2024-03-28,1882.22
Athletico PR,2024-04-03,1849.08
Athletico PR,2024-04-10,1887.3
Athletico PR,2024-04-14,1910.25
Athletico PR,2024-04-18,1955.2
Athletico PR,2024-04-21,1959.26
Athletico PR,2024-04-25,1952.18
Athletico PR,2024-04-28,1941.97
Athletico PR,2024-05-01,1963.42
Athletico PR,2024-05-05,1951.78
Athletico PR,2024-05-09,1957.31
Athletico PR,2024-05-12,1958.83
Athletico PR,2024-05-16,1957.53
Athletico PR,2024-05-31,1945.99
Athletico PR,2024-06-02,1967.4
Athletico PR,2024-06-14,1969.76
Athletico PR,2024-06-16,1978.59
Athletico PR,2024-06-20,1959.93
Athletico PR,2024-06-23,1971.51
Athletico PR,2024-06-27,1983.23
Athletico PR,2024-06-30,1984.97
Athletico PR,2024-07-04,1978.39
Athletico PR,2024-07-07,1959.26
Athletico PR,2024-07-11,1937.45
Athletico PR,2024-07-13,1945.52
Athletico PR,2024-07-19,1953.76
Athletico PR,2024-07-21,1931.17
Athletico PR,2024-07-26,1962.98
Athletico PR,2024-07-29,1957.4
Athletico PR,2024-08-01,1954.34
Athletico PR,2024-08-04,1949.93
Athletico PR,2024-08-08,1940.91
Athletico PR,2024-08-12,1959.16
Athletico PR,2024-08-16,1928.18
Athletico PR,2024-08-18,1921.74
Athletico PR,2024-08-23,1908.02
Athletico PR,2024-08-27,1909.77
Athletico PR,2024-08-30,1918.07
Athletico PR,2024-09-01,1896.76
Athletico PR,2024-09-12,1907.44
Athletico PR,2024-09-14,1902.26
Athletico PR,2024-09-20,1905.18
Athletico PR,2024-09-23,1904.17
Athletico PR,2024-09-27,1866.93
Athletico PR,2024-09-30,1893.78
Athletico PR,2024-10-05,1881.99
Athletico PR,2024-10-18,1877.01
Athletico PR,2024-10-23,1864.16
Athletico PR,2024-10-26,1863.96
Athletico PR,2024-11-02,1878.32
Athletico PR,2024-11-10,1854.57
Athletico PR,2024-11-16,1845.01
Athletico PR,2024-11-20,1847.66
Athletico PR,2024-11-24,1871.42
Athletico PR,2024-12-01,1863.22
Athletico PR,2024-12-06,1866.34
Athletico PR,2024-12-08,1852.94
Athletico PR,2025-01-11,1823.91
Athletico PR,2025-01-15,1766.64
Athletico PR,2025-01-18,1781.43
Athletico PR,2025-01-23,1815.32
Athletico PR,2025-01-25,1785.94
Athletico PR,2025-01-29,1774.75
Athletico PR,2025-02-02,1848.31
Athletico PR,2025-02-07,1864.12
Athletico PR,2025-02-09,1865.44
Athletico PR,2025-02-13,1886.8
Athletico PR,2025-02-15,1870.42
Athletico PR,2025-02-22,1841.2
Athletico PR,2025-02-26,1852.36
Athletico PR,2025-03-08,1863.23
Athletico PR,2025-03-13,1856.38
Athletico PR,2025-03-16,1861.61
Athletico PR,2025-03-20,1857.05
Athletico PR,2025-04-05,1853.81
Athletico PR,2025-04-11,1891.69
Athletico PR,2025-04-16,1898.26
Athletico PR,2025-04-21,1891.24
Athletico PR,2025-04-25,1896.89
Athletico PR,2025-05-01,1907.47
Athletico PR,2025-05-04,1907.93
Athletico PR,2025-05-09,1892.95
Athletico PR,2025-05-17,1879.56
Athletico PR,2025-05-21,1883.4
Athletico PR,2025-05-24,1872.51
Athletico PR,2025-06-01,1852.84
Athletico PR,2025-06-08,1857.15
Athletico PR,2025-06-14,1860.32
Athletico PR,2025-06-21,1873.18
Athletico PR,2025-06-28,1860.9
Athletico PR,2025-07-06,1862.29
Athletico PR,2025-07-13,1864.76
Athletico PR,2025-07-20,1872.8
Athletico PR,2025-07-23,1869.49
Athletico PR,2025-07-27,1862.33
Athletico PR,2025-08-01,1862.08
Athletico PR,2025-08-03,1868.13
Athletico PR,2025-08-07,1877.85
Athletico PR,2025-08-12,1878.89
Athletico PR,2025-08-17,1859.0
Athletico PR,2025-08-24,1856.62
Athletico PR,2025-08-28,1851.62
Athletico PR,2025-08-31,1859.06
Athletico PR,2025-09-06,1863.63
Athletico PR,2025-09-11,1851.68
Athletico PR,2025-09-17,1859.22
Athletico PR,2025-09-22,1861.6
Athletico PR,2025-09-25,1884.1
Athletico PR,2025-09-28,1902.26
Athletico PR,2025-10-06,1898.9
Athletico PR,2025-10-10,1902.99
Athletico PR,2025-10-15,1908.51
Athletico PR,2025-10-19,1908.88
Athletico PR,2025-10-28,1897.3
Athletico PR,2025-11-01,1899.02
Athletico PR,2025-11-08,1914.35
Athletico PR,2025-11-16,1922.93
Athletico PR,2025-11-23,1927.72
Athletico PR,2026-01-09,1847.61
Athletico PR,2026-01-11,1851.07
Athletico PR,2026-01-15,1804.87
Athletico PR,2026-01-17,1822.45
Athletico PR,2026-01-21,1824.36
Athletico PR,2026-01-24,1807.47
Athletico PR,2026-01-28,1825.06
Athletico PR,2026-02-04,1847.07
Athletico PR,2026-02-07,1794.82
Athletico PR,2026-02-12,1808.55
Athletico PR,2026-02-15,1840.59
Athletico PR,2026-02-19,1838.34
Athletico PR,2026-02-22,1824.57
Athletico PR,2026-02-25,1857.76
Athletico PR,2026-03-15,1846.36
Athletico PR,2026-03-18,1871.78
Athletico PR,2026-03-22,1865.31
Athletico PR,2026-03-30,1861.01
Athletico PR,2026-04-02,1873.79
Athletico PR,2026-04-05,1884.87
Athletico PR,2026-04-12,1894.65
