Team,period,Rating,Country
AD Confianca Aracaju,2023-07-22,1624.61,Brazil
AD Confianca Aracaju,2023-07-29,1623.53,Brazil
AD Confianca Aracaju,2023-08-08,1622.29,Brazil
AD Confianca Aracaju,2023-08-12,1617.33,Brazil
AD Confianca Aracaju,2023-08-19,1627.92,Brazil
AD Confianca Aracaju,2023-08-26,1656.72,Brazil
AD Confianca Aracaju,2024-01-06,1623.2,Brazil
AD Confianca Aracaju,2024-01-13,1642.11,Brazil
AD Confianca Aracaju,2024-01-21,1650.98,Brazil
AD Confianca Aracaju,2024-01-27,1624.66,Brazil
AD Confianca Aracaju,2024-01-31,1648.52,Brazil
AD Confianca Aracaju,2024-02-04,1671.91,Brazil
AD Confianca Aracaju,2024-02-10,1647.72,Brazil
AD Confianca Aracaju,2024-02-23,1656.37,Brazil
AD Confianca Aracaju,2024-02-28,1652.84,Brazil
AD Confianca Aracaju,2024-03-03,1648.45,Brazil
AD Confianca Aracaju,2024-03-13,1661.92,Brazil
AD Confianca Aracaju,2024-04-23,1630.01,Brazil
AD Confianca Aracaju,2024-04-30,1621.52,Brazil
AD Confianca Aracaju,2024-05-04,1617.97,Brazil
AD Confianca Aracaju,2024-05-19,1610.74,Brazil
AD Confianca Aracaju,2024-05-25,1609.89,Brazil
AD Confianca Aracaju,2024-06-01,1616.23,Brazil
AD Confianca Aracaju,2024-06-11,1624.83,Brazil
AD Confianca Aracaju,2024-06-16,1607.78,Brazil
AD Confianca Aracaju,2024-06-28,1614.61,Brazil
AD Confianca Aracaju,2024-07-02,1636.69,Brazil
AD Confianca Aracaju,2024-07-08,1642.63,Brazil
AD Confianca Aracaju,2024-07-13,1631.08,Brazil
AD Confianca Aracaju,2024-07-23,1636.03,Brazil
AD Confianca Aracaju,2024-07-29,1634.4,Brazil
AD Confianca Aracaju,2024-08-01,1629.63,Brazil
AD Confianca Aracaju,2024-08-04,1610.86,Brazil
AD Confianca Aracaju,2024-08-10,1609.53,Brazil
AD Confianca Aracaju,2024-08-19,1627.14,Brazil
AD Confianca Aracaju,2024-08-24,1610.78,Brazil
AD Confianca Aracaju,2025-01-13,1610.78,Brazil
AD Confianca Aracaju,2025-01-16,1669.24,Brazil
AD Confianca Aracaju,2025-01-22,1676.63,Brazil
AD Confianca Aracaju,2025-01-26,1699.49,Brazil
AD Confianca Aracaju,2025-01-29,1694.08,Brazil
AD Confianca Aracaju,2025-02-02,1698.57,Brazil
AD Confianca Aracaju,2025-02-05,1715.6,Brazil
AD Confianca Aracaju,2025-02-09,1700.58,Brazil
AD Confianca Aracaju,2025-02-12,1692.49,Brazil
AD Confianca Aracaju,2025-02-15,1696.49,Brazil
AD Confianca Aracaju,2025-02-18,1705.45,Brazil
