Match ID,liga_original,liga_nova
149323454,Guatemala Liga Nacional,Guatemala Primera Division
149354602,Guatemala Liga Nacional,Guatemala Primera Division
149423103,Guatemala Liga Nacional,Guatemala Primera Division
149292669,Scotland Women Premier League,Scotland Premier League Women
537632,Scotland Women Premier League,Scotland Premier League Women
149292672,Scotland Women Premier League,Scotland Premier League Women
149292677,Scotland Women Premier League,Scotland Premier League Women
149292684,Scotland Women Premier League,Scotland Premier League Women
149292686,Scotland Women Premier League,Scotland Premier League Women
149292688,Scotland Women Premier League,Scotland Premier League Women
149354607,Guatemala Liga Nacional,Guatemala Primera Division
149354754,Guatemala Liga Nacional,Guatemala Primera Division
149354756,Guatemala Liga Nacional,Guatemala Primera Division
149390318,Guatemala Liga Nacional,Guatemala Primera Division
149354758,Guatemala Liga Nacional,Guatemala Primera Division
149578631,Guatemala Liga Nacional,Guatemala Primera Division
149636189,Guatemala Liga Nacional,Guatemala Primera Division
149636306,Guatemala Liga Nacional,Guatemala Primera Division
149636193,Guatemala Liga Nacional,Guatemala Primera Division
149636196,Guatemala Liga Nacional,Guatemala Primera Division
149636252,Guatemala Liga Nacional,Guatemala Primera Division
149621751,Guatemala Liga Nacional,Guatemala Primera Division
149621812,Guatemala Liga Nacional,Guatemala Primera Division
149636255,Guatemala Liga Nacional,Guatemala Primera Division
149822564,Guatemala Liga Nacional,Guatemala Primera Division
149621592,Guatemala Liga Nacional,Guatemala Primera Division
149621637,Guatemala Liga Nacional,Guatemala Primera Division
149621862,Guatemala Liga Nacional,Guatemala Primera Division
149621893,Guatemala Liga Nacional,Guatemala Primera Division
149636263,Guatemala Liga Nacional,Guatemala Primera Division
149636204,Guatemala Liga Nacional,Guatemala Primera Division
149636268,Guatemala Liga Nacional,Guatemala Primera Division
149636208,Guatemala Liga Nacional,Guatemala Primera Division
149636222,Guatemala Liga Nacional,Guatemala Primera Division
149636273,Guatemala Liga Nacional,Guatemala Primera Division
149636279,Guatemala Liga Nacional,Guatemala Primera Division
149636286,Guatemala Liga Nacional,Guatemala Primera Division
150012165,Scotland Women Premier League,Scotland Premier League Women
150012167,Scotland Women Premier League,Scotland Premier League Women
150028258,Scotland Women Premier League,Scotland Premier League Women
150012163,Scotland Women Premier League,Scotland Premier League Women
150012169,Scotland Women Premier League,Scotland Premier League Women
150028260,Scotland Women Premier League,Scotland Premier League Women
149636227,Guatemala Liga Nacional,Guatemala Primera Division
149636289,Guatemala Liga Nacional,Guatemala Primera Division
149636292,Guatemala Liga Nacional,Guatemala Primera Division
149636294,Guatemala Liga Nacional,Guatemala Primera Division
149636231,Guatemala Liga Nacional,Guatemala Primera Division
149636300,Guatemala Liga Nacional,Guatemala Primera Division
149636213,Guatemala Liga Nacional,Guatemala Primera Division
150271048,Scotland Women Premier League,Scotland Premier League Women
149636236,Guatemala Liga Nacional,Guatemala Primera Division
149636238,Guatemala Liga Nacional,Guatemala Primera Division
149636241,Guatemala Liga Nacional,Guatemala Primera Division
149636303,Guatemala Liga Nacional,Guatemala Primera Division
149636244,Guatemala Liga Nacional,Guatemala Primera Division
149636246,Guatemala Liga Nacional,Guatemala Primera Division
149636249,Guatemala Liga Nacional,Guatemala Primera Division
149933024,Guatemala Liga Nacional,Guatemala Primera Division
