Date,Match ID,League,Time,Status,Home Team,Home Pos,Home Red Cards,Home Yellow Cards,Score,Away Team,Away Pos,Away Red Cards,Away Yellow Cards,Handicap,Corners (FT),Corners (HT),Total Goals Line (FT),Total Goals Line (HT),Dangerous Attacks (FT),Dangerous Attacks (HT),url_stats,url_odds,url_live
2024-10-29,640591,,11:15,10,Test U19,,0,0,0 - 1,will,,0,0,( -1),0 - 0,0-0,(3.75),( 2),-,,https://www.totalcorner.com/stats/Test-U19-vs-will/640591,https://www.totalcorner.com/odds/Test-U19-vs-will/640591,https://www.totalcorner.com/live/Test-U19-vs-will/640591
2026-05-10,194293592,Senegal Premier League,14:00,,AS Camberene,16.0,0,0,0 - 0,ASC Linguere,15.0,0,0,,0 - 0,0-0,,,-,,https://www.totalcorner.com/stats/AS-Camberene-vs-ASC-Linguere/194293592,https://www.totalcorner.com/odds/AS-Camberene-vs-ASC-Linguere/194293592,https://www.totalcorner.com/live/AS-Camberene-vs-ASC-Linguere/194293592
2026-05-10,194272404,Colombia Cup,17:00,,Rionegro Aguilas,,0,0,0 - 0,Jaguares de Cordoba,,0,0,-0.5,0 - 0,0-0,2.0,0.75,-,,https://www.totalcorner.com/stats/Rionegro-Aguilas-vs-Jaguares-de-Cordoba/194272404,https://www.totalcorner.com/odds/Rionegro-Aguilas-vs-Jaguares-de-Cordoba/194272404,https://www.totalcorner.com/live/Rionegro-Aguilas-vs-Jaguares-de-Cordoba/194272404
2026-05-11,194314469,Indonesia Super League,09:00,,Bhayangkara FC,,0,0,0 - 0,Madura United,,0,0,-0.25,0 - 0,0-0,2.5,1.0,-,,https://www.totalcorner.com/stats/Bhayangkara-FC-vs-Madura-United/194314469,https://www.totalcorner.com/odds/Bhayangkara-FC-vs-Madura-United/194314469,https://www.totalcorner.com/live/Bhayangkara-FC-vs-Madura-United/194314469
2026-05-11,194314473,Indonesia Super League,09:00,,Bali United,,0,0,0 - 0,Borneo FC,,0,0,+0.75,0 - 0,0-0,3.25,1.25,-,,https://www.totalcorner.com/stats/Bali-United-vs-Borneo-FC/194314473,https://www.totalcorner.com/odds/Bali-United-vs-Borneo-FC/194314473,https://www.totalcorner.com/live/Bali-United-vs-Borneo-FC/194314473
2026-05-11,194203859,India Super League,11:00,,East Bengal Club,,0,0,0 - 0,Punjab FC,,0,0,-0.75,0 - 0,0-0,2.5,1.0,-,,https://www.totalcorner.com/stats/East-Bengal-Club-vs-Punjab-FC/194203859,https://www.totalcorner.com/odds/East-Bengal-Club-vs-Punjab-FC/194203859,https://www.totalcorner.com/live/East-Bengal-Club-vs-Punjab-FC/194203859
2026-05-11,193710586,Bulgaria Second League,11:45,,Yantra Gabrovo,,0,0,0 - 0,Vihren Sandanski,,0,0,-0.75,0 - 0,0-0,2.5,1.0,-,,https://www.totalcorner.com/stats/Yantra-Gabrovo-vs-Vihren-Sandanski/193710586,https://www.totalcorner.com/odds/Yantra-Gabrovo-vs-Vihren-Sandanski/193710586,https://www.totalcorner.com/live/Yantra-Gabrovo-vs-Vihren-Sandanski/193710586
2026-05-11,193715895,Romania Liga I,12:00,,Metaloglobus Bucuresti,,0,0,0 - 0,AFC Hermannstadt,,0,0,+1.0,0 - 0,0-0,2.5,1.0,-,,https://www.totalcorner.com/stats/Metaloglobus-Bucuresti-vs-AFC-Hermannstadt/193715895,https://www.totalcorner.com/odds/Metaloglobus-Bucuresti-vs-AFC-Hermannstadt/193715895,https://www.totalcorner.com/live/Metaloglobus-Bucuresti-vs-AFC-Hermannstadt/193715895
2026-05-11,194314463,Czechia 2. Liga,12:00,,Opava,,0,0,0 - 0,SK Artis Brno,,0,0,-0.25,0 - 0,0-0,2.5,1.0,-,,https://www.totalcorner.com/stats/Opava-vs-SK-Artis-Brno/194314463,https://www.totalcorner.com/odds/Opava-vs-SK-Artis-Brno/194314463,https://www.totalcorner.com/live/Opava-vs-SK-Artis-Brno/194314463
2026-05-11,194315942,Sweden Damallsvenskan,13:00,,Malmo FF (W),,0,0,0 - 0,BK Hacken (W),,0,0,+0.5,0 - 0,0-0,2.75,1.25,-,,https://www.totalcorner.com/stats/Malmo-FF-%28W%29-vs-BK-Hacken-%28W%29/194315942,https://www.totalcorner.com/odds/Malmo-FF-%28W%29-vs-BK-Hacken-%28W%29/194315942,https://www.totalcorner.com/live/Malmo-FF-%28W%29-vs-BK-Hacken-%28W%29/194315942
